Original Case Cluster,Cluster Status,Causal Chain Placement,Resource Title,URL,Key Finding
COVID Vaccine,Cluster partly represented (1 of 12 placed),Taiwan comparator: high-freq comms -> trust,The Taiwan Model for Combating COVID-19,https://www.taiwanembassy.org/uploads/sites/27/2021/02/The-Taiwan-Model-for-Combating-COVID-19.pdf,Mask rationing embedded in pre-existing trusted pharmacy network
School Closures,Cluster partly represented (5 of 18 placed),Union voice asymmetry -> illegitimate decision,Are School Reopening Decisions Related to Union Influence?,https://www.nber.org/papers/w28960,Mandatory collective-bargaining states more likely to remain remote controlling for case rates
School Closures,Cluster partly represented (5 of 18 placed),Union voice asymmetry -> illegitimate decision,Power in a Pandemic: Teachers' Unions and Their Responses to School Reopening - Bradley Marianno,https://journals.sagepub.com/doi/10.3102/0162373721997879,Unions had legal mechanism to negotiate directly with districts; parents did not
School Closures,Cluster partly represented (5 of 18 placed),Illegitimate decision -> declining trust -> attendance decline,School Absenteeism and the COVID-19 Pandemic - PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC10200804/,Overview of absenteeism surge mechanisms
School Closures,Cluster partly represented (5 of 18 placed),Illegitimate decision -> declining trust -> attendance decline,"Student-level attendance patterns show depth, breadth, and persistence of post-pandemic absenteeism - Brookings",https://www.brookings.edu/articles/student-level-attendance-patterns-show-depth-breadth-and-persistence-of-post-pandemic-absenteeism/,3-year post-pandemic vs pre-pandemic attendance comparison
School Closures,Cluster partly represented (5 of 18 placed),Illegitimate decision -> declining trust -> attendance decline,Long COVID for Public Schools: Chronic Absenteeism Before and After the Pandemic - AEI,https://www.aei.org/research-products/report/long-covid-for-public-schools-chronic-absenteeism-before-and-after-the-pandemic/,Chronic absenteeism most pressing post-pandemic school problem
School Closures,Cluster partly represented (5 of 18 placed),Illegitimate decision -> declining trust -> attendance decline,Absence and attainment: Evidence from pandemic policy (ERIC),https://files.eric.ed.gov/fulltext/ED666593.pdf,UK Tier Regulation variation study
School Closures,Cluster partly represented (5 of 18 placed),Illegitimate decision -> declining trust -> attendance decline,"Overview: The pandemic, pupil attendance and achievement (ERIC)",https://files.eric.ed.gov/fulltext/ED666638.pdf,UK-focused overview of pandemic attendance/achievement links
School Closures,Cluster partly represented (5 of 18 placed),Relational trust/climate -> attendance (mediator),"Connection, Trust, and Learning: Student Attendance in Middle/High School (Overdeck)",https://overdeck.org/research-repository/chronic-absenteeism/connection-trust-learning-student-attendance-in-the-middle-and-high/,Chronic absenteeism +20pp; ~half CPS students chronically absent 2022
School Closures,Cluster partly represented (5 of 18 placed),Illegitimate decision -> declining trust -> attendance decline,Pupil absence and the Covid-19 pandemic (ERIC),https://files.eric.ed.gov/fulltext/ED674573.pdf,UK pupil absence study
School Closures,Cluster partly represented (5 of 18 placed),Illegitimate decision -> declining trust -> attendance decline,Higher chronic absenteeism threatens academic recovery from COVID - PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC10801904/,Attendance recovery required for academic recovery investments to succeed
School Closures,Cluster partly represented (5 of 18 placed),Illegitimate decision -> declining trust -> attendance decline,Tracking Post-Pandemic Chronic Absenteeism into 2024 - AEI,https://www.aei.org/research-products/report/lingering-absence-in-public-schools-tracking-post-pandemic-chronic-absenteeism-into-2024/,Millions more chronically absent students than pre-pandemic baseline
School Closures,Cluster partly represented (5 of 18 placed),Illegitimate decision -> declining trust -> attendance decline,Impact of COVID-2019 on school attendance problems - PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC8325878/,Early (2021) look at attendance problem emergence
Communities of Care,Cluster partly represented (2 of 8 placed),Trust networks -> mandate compliance,Combating Chronic Disease with Barbershop Health Interventions - PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC5343133/,Barbershops/salons used as testing/vaccine sites; clients more comfortable discussing hesitancy
Communities of Care,Cluster partly represented (2 of 8 placed),Trust networks -> mandate compliance,Rural Librarians as Health Information Intermediaries - Rhetoric of Health & Medicine,https://www.pennpress.org/9781478000000/rhetoric-of-health-and-medicine/,11 rural librarians across 9 states act as de facto health info intermediaries
Corporate Concealment,Cluster partly represented (1 of 10 placed),Corporate concealment -> regulatory failure -> harm,3M's Forever Chemicals Inside Story - ProPublica,https://www.propublica.org/article/3m-forever-chemicals-pfas-pfos-inside-story,Kris Hansen's internal discovery of PFAS in human blood; corporate suppression
Corporate Concealment,Cluster partly represented (1 of 10 placed),Whistleblowing gap,Whistleblower Rewards - Phillips & Cohen,https://www.phillipsandcohen.com/whistleblower-rewards/,"OSHA/False Claims Act qui tam mechanics; requires proving fraud against govt, not harm alone"
Corporate Concealment,Cluster partly represented (1 of 10 placed),Whistleblowing gap,Better Bounty Hunting: SEC's New Whistleblower Program - Stanford Law Review,https://www.stanfordlawreview.org/online/better-bounty-hunting-how-the-secs-new-whistleblower-program-changes-the-securities-fraud-class-action-debate/,SEC/CFTC bounty programs pay 10-30% of recovery >$1M; up to $279M award in 2023
Corporate Concealment,Cluster partly represented (1 of 10 placed),Whistleblowing gap,EU Whistleblower Protection Directive (2019/1937),https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32019L1937,Requires anonymous internal/external reporting channels covering environmental protection
Corporate Concealment,Cluster partly represented (1 of 10 placed),Whistleblowing gap,Corporate responsibility and state false claims acts: evaluating qui tam proceedings,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3441216,Scholarly proposal to extend qui tam-style bounties to environmental fraud
Corporate Concealment,Cluster partly represented (1 of 10 placed),Citizen detection -> regulatory response,Fenceline: The Bucket Brigade - POV/PBS,https://www.pbs.org/pov/fenceline/,Louisiana Cancer Alley: $75 EPA-approved bucket sampling; Mossville benzene 220x state standard
Corporate Concealment,Cluster partly represented (1 of 10 placed),Citizen detection -> regulatory response,"Promotora Program - King County, Washington",https://kingcounty.gov/en/legacy/depts/health/programs-services/health-insurance/promotoras.aspx,Community health worker model for environmental/health outreach
Corporate Concealment,Cluster partly represented (1 of 10 placed),Diffuse engagement trigger -> mobilization,Research on climate-meeting attendance and civic infrastructure - Nature Humanities & Social Sciences Communications,https://www.nature.com/articles/s44168-023-00071-4,Union-affiliated 41% more likely to attend local environmental meetings; prior civic infrastructure is strongest predictor
Corporate Concealment,Cluster partly represented (1 of 10 placed),Local reporting apps -> regulatory channel,SeeClickFix,https://www.seeclickfix.com/how-it-works,"Resident-photographed, geo-located issues routed directly into govt workflows (311-style)"
Bad Company + Reg Failure Typology (new),Cluster absent from the tool,Regulatory capture mechanism,Anatomy of agency capture: An organizational typology - Regulation & Governance,https://ideas.repec.org/a/wly/reggov/v14y2020i2p271-294.html,Two-axis typology: industry coordination x degree of system capture
Bad Company + Reg Failure Typology (new),Cluster absent from the tool,Regulatory capture mechanism,A Typology for Diagnosing and Remedying Regulatory Capture in Financial Regulation - Duke FinReg Blog,https://sites.duke.edu/thefinregblog/2019/05/07/a-typology-for-diagnosing-and-remedying-regulatory-capture-in-financial-regulation/,Framework applied to 2008 financial crisis
Bad Company + Reg Failure Typology (new),Cluster absent from the tool,Regulatory capture mechanism,Analysis of the Volkswagen Scandal: Possible Solutions for Recovery (UCSD),https://gps.ucsd.edu/_files/faculty/gourevitch/gourevitch_cs_zhou.pdf,Dieselgate as capture case study
Bad Company + Reg Failure Typology (new),Cluster absent from the tool,Corporate scandal -> regulation response,Corporate Scandals and Regulation (ECGI Working Paper),https://www.ecgi.global/sites/default/files/working_papers/documents/finalhailtahounwang.pdf,Cross-case pattern of scandal-driven regulatory tightening
Bad Company + Reg Failure Typology (new),Cluster absent from the tool,Trust erosion outcome (generalizes to institutions),Trust and Investment Loss: Evidence from UK financial corporate failures (Stanford),https://ifdm.stanford.edu/sites/g/files/sbiybj30991/files/media/file/michaelides_alex_and_kosova_renata-trust_and_investment_loss.pdf,"Direct exposure to firm failure eroded trust in markets, regulators, auditors; not reversible after compensation"
Bad Company + Reg Failure Typology (new),Cluster absent from the tool,Anchor case: Flint,Flint Water Advisory Task Force - FINAL REPORT (State of Michigan),https://www.michigan.gov/-/media/Project/Websites/formergovernors/Folder6/FWATF_FINAL_REPORT_21March2016.pdf,Official government failure findings
Bad Company + Reg Failure Typology (new),Cluster absent from the tool,Anchor case: Flint,"Learning from the Flint Water Crisis: Restoring and Improving Public Health Practice, Accountability, and Trust",https://journals.sagepub.com/doi/10.1177/1073110519857310,Legal preparedness gaps enabled crisis
Bad Company + Reg Failure Typology (new),Cluster absent from the tool,Anchor case: Flint,"Legacy city residents' lack of trust in their governments: Flint, Michigan",https://www.academia.edu/37230481/,11.3% trusted local govt vs ~80% statewide; 7.4% trusted state govt vs ~70%
Bad Company + Reg Failure Typology (new),Cluster absent from the tool,Anchor case: Flint,Psychological consequences of the Flint Water Crisis - PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC8572313/,Systematic review of mental health impacts
Bad Company + Reg Failure Typology (new),Cluster absent from the tool,Anchor case: Flint,Water Crisis: Worry and a Lack of Trust - Roper Center,https://ropercenter.cornell.edu/water-crisis-worry-and-lack-trust,National polling on drinking water trust post-Flint
Bad Company + Reg Failure Typology (new),Cluster absent from the tool,Anchor case: Flint,Expanding Ethics Review Processes: A Case Study from Flint - AMA Journal of Ethics,https://journalofethics.ama-assn.org/article/expanding-ethics-review-processes-include-community-level-protections-case-study-flint-michigan/2017-09,Community-based participatory research protections framework
Data Center Opposition (new),Cluster absent from the tool,Accumulated tech distrust -> local opposition,Survey Finds AI Skepticism Is Fueling Opposition to New Data Centers (RCP Magazine),https://rcpmag.com/articles/2026/06/25/survey-finds-ai-skepticism-is-fueling-opposition.aspx,AI/Big Tech distrust predicts opposition better than proximity
Data Center Opposition (new),Cluster absent from the tool,Accumulated tech distrust -> local opposition,Hahn and Escalent Nationwide Data Center Sentiment Survey,https://www.prnewswire.com/news-releases/hahn-and-escalent-nationwide-data-center-sentiment-survey-reveals-opportunities-for-data-centers-and-electric-utilities-302468146.html,71% oppose local data center construction; messenger credibility pivotal
Other Cases (new),Cluster absent from the tool,Citizen stewardship (non-malfeasance),Old Ladies Against Underwater Garbage - Boston Globe,https://www.bostonglobe.com/2024/08/12/metro/old-ladies-against-underwater-garbage/,"Volunteer pond cleanup, 6,000+ lbs removed since 2017"
Other Cases (new),Cluster absent from the tool,Citizen stewardship (non-malfeasance),Taking out the trash: These old ladies are cleaning up Cape Cod - Boston.com,https://www.boston.com/news/local-news/2026/07/20/taking-out-the-trash-these-old-ladies-are-cleaning-up-cape-cod/,2026 update on OLAUG activities
Other Cases (new),Cluster absent from the tool,Citizen stewardship (non-malfeasance),Meet the Old Ladies Against Underwater Garbage - Nice News,https://nicenews.com/environment/old-ladies-against-underwater-garbage-massachusetts/,"Group profile, ages 64-85, formed 2017"
Deliberative Mechanisms (new),Cluster absent from the tool,Participation -> perceived legitimacy,Should We Use Citizens' Assemblies to Make Health Policy? (PubMed),https://pubmed.ncbi.nlm.nih.gov/42015554/,Normative case assessment; underexplored justification
Deliberative Mechanisms (new),Cluster absent from the tool,Participation -> perceived legitimacy,Deliberative democracy and legitimacy (Oxford Academic),https://academic.oup.com/book/1538/chapter/140981446,Theoretical foundation: input/throughput/output legitimacy
Deliberative Mechanisms (new),Cluster absent from the tool,Participation -> perceived legitimacy,Democratic Justifications for Patient Public Involvement - PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC10281369/,PPIE typology in health research
Deliberative Mechanisms (new),Cluster absent from the tool,Participation -> perceived legitimacy,Public Deliberation and Health Policy Development,https://journals.openedition.org/irpp/5701,Deliberation as response to representative democracy limits
Deliberative Mechanisms (new),Cluster absent from the tool,Participation -> perceived legitimacy,Deliberating with purpose: Deliberative civic engagement for health,https://onlinelibrary.wiley.com/doi/full/10.1111/capa.12545,Civic engagement framework for health policy
Deliberative Mechanisms (new),Cluster absent from the tool,Participation -> perceived legitimacy,Citizens' assemblies: A critical perspective (Southampton),https://eprints.soton.ac.uk/504553/1/10.1515_9783110758269-011.pdf,Critical limitations of assembly model
Deliberative Mechanisms (new),Cluster absent from the tool,Participation -> perceived legitimacy,Influencing health policy through public deliberation: Citizens'/community juries - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0277953617301429,20-yr review of community jury impact on policy
Deliberative Mechanisms (new),Cluster absent from the tool,Participation -> perceived legitimacy,The Perception of the Legitimacy of Citizens' Assemblies in Deeply Divided Places (Northern Ireland),https://www.cambridge.org/core/journals/government-and-opposition/article/perception-of-the-legitimacy-of-citizens-assemblies-in-deeply-divided-places-evidence-of-public-and-elite-opinion-from-consociational-northern-ireland/,75% accept assembly decisions as legitimate even when disagreeing
Deliberative Mechanisms (new),Cluster absent from the tool,Participation -> perceived legitimacy,Generating Democratic Legitimacy through Citizen Deliberation (SSRN),https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2299559,Deliberative theory as leading legitimacy framework since 1990s
Deliberative Mechanisms (new),Cluster absent from the tool,Participation -> perceived legitimacy,OECD Evaluation Guidelines for Representative Deliberative Processes,https://www.oecd.org/content/dam/oecd/en/publications/reports/2021/11/evaluation-guidelines-for-representative-deliberative-processes.pdf,International evaluation standards for deliberative processes
Deliberative Mechanisms (new),Cluster absent from the tool,Participation -> perceived legitimacy,Institutionalizing deliberative mini-publics? Issues of legitimacy (Ohio State),"https://democracyinstitute.osu.edu/sites/default/files/2024-04/Courant%20(2022),%20Institutionalizing%20deliberative%20mini-publics.pdf",Institutionalization challenges for mini-publics
Deliberative Mechanisms (new),Cluster absent from the tool,Binding output legitimacy -> durable trust,Thailand National Health Assembly (referenced in Public Deliberation and Health Policy Development),https://journals.openedition.org/irpp/5701,Iterative multi-year deliberation embedded in binding health governance
Citizen Science / MIT Models (new),Cluster absent from the tool,Public participation methodology,Session 1: Citizen Science and Climate Action - MIT OpenCourseWare,https://ocw.mit.edu/courses/res-env-001-climate-action-hands-on-harnessing-science-with-communities-to-cut-carbon-january-iap-2016/pages/session-1-citizen-science-and-climate-action/,MIT IAP course on community-based methane leak monitoring
Citizen Science / MIT Models (new),Cluster absent from the tool,Public participation methodology,Participatory Environmental Sensing for Communities - MIT Media Lab,https://www.media.mit.edu/projects/participatory-environmental-sensing-for-communities/overview/,Community air/water pollution sensing tools project
Citizen Science / MIT Models (new),Cluster absent from the tool,Public participation methodology,Climate Action Hands-On: Harnessing Science with Communities to Cut Carbon - MIT OCW,https://ocw.mit.edu/courses/res-env-001-climate-action-hands-on-harnessing-science-with-communities-to-cut-carbon-january-iap-2016/,"Full course: framing, data gathering, methane leak focus"
Trust Mediator Framework,Cluster absent from the tool,Rural Republicans: resentment-based distrust (explicit to-do item),The Politics of Resentment: Rural Consciousness in Wisconsin and the Rise of Scott Walker - Katherine Cramer (UChicago Press),https://press.uchicago.edu/ucp/books/book/chicago/P/bo22879533.html,Rural consciousness = place identity + perceived distributive injustice; resentment toward urban elites/govt is harder to trace causally than institutional-harm-based distrust
Trust Mediator Framework,Cluster absent from the tool,Rural Republicans: resentment-based distrust (explicit to-do item),Kathy Cramer on The Politics of Resentment: What I Learned from Rural Wisconsin - MIT Media Lab talk,https://civic.mit.edu/index.html%3Fp=1891.html,"Rural consciousness composed of 3 elements: perceptions of power, values/lifestyle, and who-gets-what; fertile ground for populist mobilization"
Trust Mediator Framework,Cluster absent from the tool,Rural Republicans: resentment-based distrust (explicit to-do item),"Katherine J. Cramer, The Politics of Resentment - Public Opinion Quarterly review",https://academic.oup.com/poq/article/81/2/599/3835418,Rural consciousness explains why low-income voters oppose policies that would materially help them; perception (not reality) of maldistribution drives politics
Trust Mediator Framework,Cluster absent from the tool,Rural Republicans: resentment-based distrust (explicit to-do item),Kathy Cramer - Wikipedia,https://en.wikipedia.org/wiki/Kathy_Cramer,Summary of rural resentment concept and 2016 election linkage
Trust Mediator Framework,Cluster absent from the tool,Rural Republicans: resentment-based distrust (explicit to-do item),"Booked: Capitalizing on Rural Resentment, with Katherine J. Cramer - Dissent Magazine",https://dissentmagazine.org/blog/booked-katherine-cramer-politics-resentment-rural-wisconsin-scott-walker-trump/,"Distinguishes resentment (us-vs-them, distributive injustice) from institutional-harm-based distrust; political actors exploit rather than cause the underlying sentiment"
School Closures,Cluster partly represented (5 of 18 placed),PTA/parent engagement decline (explicit to-do item),"In the face of waning volunteerism, parent groups are looking for new members - The Inlander",https://www.inlander.com/health-and-home/in-the-face-of-waning-volunteerism-parent-groups-are-looking-for-new-members-to-help-build-community-at-local-schools,"PTO active-volunteer rate fell from 21% (30+ volunteers) in 2013 to just 8% by 2019, worsened further by COVID; decline predates and outlasts pandemic"
Communities of Care,Cluster partly represented (2 of 8 placed),Librarians/trusted messengers vs healthcare workers (explicit to-do item),Key Conversations and Trusted Information Among Hesitant Adopters of the COVID-19 Vaccine - PubMed,https://pubmed.ncbi.nlm.nih.gov/37599458/,"Hesitant adopters cited healthcare professionals, family, friends, coworkers, and community leaders as trusted sources; multiple conversations with trusted messengers preceded vaccination"
Communities of Care,Cluster partly represented (2 of 8 placed),Librarians/trusted messengers vs healthcare workers (explicit to-do item),Knowledge gaps among public librarians seeking vaccination information - PubMed,https://pubmed.ncbi.nlm.nih.gov/26550002/,Librarians act as first responders for health info but have real knowledge/training gaps
Communities of Care,Cluster partly represented (2 of 8 placed),Librarians/trusted messengers vs healthcare workers (explicit to-do item),"Exploring Vaccine Hesitancy, Structural Barriers, and Trust - PMC 2025",https://pmc.ncbi.nlm.nih.gov/articles/PMC12300449/,Highest trust in healthcare providers/church leaders; least trust in media/government; trusted leaders often advise independent research over blind trust
Communities of Care,Cluster partly represented (2 of 8 placed),Librarians/trusted messengers vs healthcare workers (explicit to-do item),Exploring How Vaccine Information is Communicated in NSW Public Libraries,https://www.tandfonline.com/doi/full/10.1080/24750158.2022.2135360,Libraries under-resourced for vaccine info despite trusted-messenger role; limited/outdated print collections
PFAS / Local Reporting Apps,Cluster absent from the tool,311 vs Nextdoor evidence (explicit to-do item),The Promises and Pitfalls of 311 Data - MIT (Legewie & Schaefer),https://dspace.mit.edu/bitstream/handle/1721.1/128558/promises311data_RR2_unblinded_June2016.pdf,311 data is a valid measure of service demand but NOT a reliable generic measure of civic/political participation without controlling for neighborhood need
PFAS / Local Reporting Apps,Cluster absent from the tool,311 vs Nextdoor evidence (explicit to-do item),The NYC311 App & Community Engagement in Coproducing Public Services,https://aisel.aisnet.org/amcis2023/sig_egov/sig_egov/12/,"311 app increased request volume in every community, but effect was weaker in Black-majority, median-income communities — equity gap in digital participation"
PFAS / Local Reporting Apps,Cluster absent from the tool,311 vs Nextdoor evidence (explicit to-do item),Digital Platforms and the Maintenance of the Urban Order - Social Problems,https://academic.oup.com/socpro/article/72/2/675/7467997,Compares Nextdoor/Citizen/Ring vs 311/SeeClickFix; Nextdoor-style platforms amplify paranoia and racialized policing rather than routing to formal regulatory channels
PFAS / Local Reporting Apps,Cluster absent from the tool,311 vs Nextdoor evidence (explicit to-do item),Does collective citizen input impact government service provision? Evidence from SeeClickFix requests,https://onlinelibrary.wiley.com/doi/full/10.1111/puar.13747,Collaborative SeeClickFix requests (comments/follows) resolved up to 5 days faster; collective input measurably shapes government responsiveness
PFAS / Local Reporting Apps,Cluster absent from the tool,311 vs Nextdoor evidence (explicit to-do item),Do 311 Systems Shape Citizen Satisfaction with Local Government? (SSRN),https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2491034,"Frequent 311 coproducers report higher satisfaction overall, but lower satisfaction on the specific issue type they reported — a nuance for the participation-outcome link"
PFAS / Local Reporting Apps,Cluster absent from the tool,Noise pollution documentation (explicit to-do item),Summary of the Noise Control Act (EPA),https://www.epa.gov/laws-regulations/summary-noise-control-act,"Legal baseline: federal noise regulation authority is narrow and largely delegated to state/local governments, explaining why informal documentation (e.g., YouTube recordings) fills a regulatory gap"
PFAS / Local Reporting Apps,Cluster absent from the tool,"King's County Promotora Program outcome (explicit to-do item, previously unresolved)","Promotoras: Increasing Access to Breast Cancer Education and Screening - King County, WA",https://kingcounty.gov/en/legacy/depts/health/programs-services/health-insurance/~/media/depts/dph/documents/health-safety/health-programs-services/health-insurance/promotoras-increasing-access-to-breast-cancer-education-and-screening.pdf,Program exceeded year-1 and year-2 goals for increasing Latina breast-screening referrals via trusted community health workers
