URL,Domain,Labels Used,Citations,Cases,Record Types,Verbatim Quotes,Deep Links,HTTP Status,Page Exists,Claim Supported,Verdict,Notes
https://files.eric.ed.gov/fulltext/EJ1383169.pdf,files.eric.ed.gov,"Singer et al., Reopening in Five Districts (ERIC) | Singer et al., published version (ERIC) | Singer et al. (ERIC)",4,COVID-19 School Closures and Reopenings,Evidence | Counter-evidence,4,#/case/covid-schools/chain/schools-legitimacy/S1 | #/case/covid-schools/chain/schools-legitimacy/S2 | #/case/covid-schools/chain/schools-legitimacy/S4,,,,,
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0257111,journals.plos.org,PLOS ONE | Marquez et al. 2021,4,COVID-19 Vaccine Mandates,Participation instance | Proposal chain evidence | Proposal chain counter-evidence | Timeline entry,1,#/case/covid-vaccines/chain/vax-total/V4/p/0 | #/case/covid-vaccines/spine/pr/2/l/0 | #/case/covid-vaccines/timeline,,,,,
https://journals.sagepub.com/doi/10.1177/00323217221137444,journals.sagepub.com,Germann et al. 2024,4,COVID-19 School Closures and Reopenings | COVID-19 Vaccine Mandates,Proposal chain evidence | Proposal chain counter-evidence,2,#/case/covid-schools/spine/pr/0/l/2 | #/case/covid-vaccines/spine/pr/1/l/0,,,,,
https://link.springer.com/article/10.1007/s10654-023-01006-3,link.springer.com,Jia et al. 2023,4,COVID-19 Vaccine Mandates,Impact evidence | Proposal chain evidence,0,#/case/covid-vaccines/spine/i/1 | #/case/covid-vaccines/spine/pr/0/l/2 | #/case/covid-vaccines/spine/pr/1/l/3 | #/case/covid-vaccines/spine/pr/2/l/3,,,,,
https://news.ballotpedia.org/2021/11/08/school-board-recalls-in-2021/,news.ballotpedia.org,Ballotpedia,4,COVID-19 School Closures and Reopenings,Participation instance | Mechanism that should have worked | Proposal chain counter-evidence | Timeline entry,0,#/case/covid-schools/chain/schools-legitimacy/S5/p/1 | #/case/covid-schools/spine/m/4 | #/case/covid-schools/spine/pr/4/l/3 | #/case/covid-schools/timeline,,,,,
https://www.epa.gov/archive/epapages/newsroom_archive/newsreleases/fdcb2f665cac66bb852570d7005d6665.html,epa.gov,EPA newsroom archive | US Environmental Protection Agency | EWG EPA Timeline,4,GenX Contamination in the Cape Fear River,Evidence | Mechanism that should have worked | Proposal chain counter-evidence | Timeline entry,1,#/case/genx-pfas/chain/pfas-harm/D1 | #/case/genx-pfas/spine/m/0 | #/case/genx-pfas/spine/pr/0/l/1 | #/case/genx-pfas/timeline,,,,,
https://www.gao.gov/products/t-rced-93-1,gao.gov,US Government Accountability Office,4,GenX Contamination in the Cape Fear River,Comparable case | Proposal chain evidence | Proposal chain counter-evidence,0,#/case/genx-pfas/spine/pr/4 | #/case/genx-pfas/spine/pr/5/l/0 | #/case/genx-pfas/spine/pr/5,,,,,
https://www.nber.org/papers/w29156,nber.org,"Dee, Huffaker, Phillips & Sagara, NBER w29156 | Dee et al. 2021",4,COVID-19 School Closures and Reopenings,Evidence | Impact evidence | Proposal chain evidence,3,#/case/covid-schools/chain/schools-legitimacy/S3 | #/case/covid-schools/spine/i/0 | #/case/covid-schools/spine/pr/1/l/3 | #/case/covid-schools/spine/pr/2/l/2,,,,,
https://www.pbs.org/wgbh/nova/article/native-americans-highest-covid-vaccination-rate-us/,pbs.org,PBS NOVA,4,COVID-19 Vaccine Mandates,Mechanism that should have worked | Proposal chain evidence | Comparable case | Timeline entry,0,#/case/covid-vaccines/spine/m/7 | #/case/covid-vaccines/spine/pr/2/l/0 | #/case/covid-vaccines/spine/pr/2 | #/case/covid-vaccines/timeline,,,,,
https://www.taftlaw.com/services/case-studies/taft-is-a-global-leader-in-pfas-forever-chemicals-litigation-and-advisory-work,taftlaw.com,Taft Law,4,GenX Contamination in the Cape Fear River,Timeline entry,0,#/case/genx-pfas/timeline,,,,,
https://wwwnc.cdc.gov/eid/article/30/1/23-1215_article,wwwnc.cdc.gov,US Centers for Disease Control and Prevention | CDC EID,4,COVID-19 School Closures and Reopenings,Proposal chain counter-evidence | Timeline entry,0,#/case/covid-schools/spine/pr/2/l/2 | #/case/covid-schools/timeline,,,,,
https://bellona.org/news/nuclear-issues/radioactive-waste-and-spent-nuclear-fuel/2016-08-21710,bellona.org,Bellona,3,COVID-19 School Closures and Reopenings | GenX Contamination in the Cape Fear River,Comparable case | Proposal chain evidence,0,#/case/covid-schools/spine/pr/2 | #/case/genx-pfas/spine/pr/6/l/0 | #/case/genx-pfas/spine/pr/6,,,,,
https://capefearriverwatch.org/wp-content/uploads/2020/07/Consent-Order-file-stamped-and-fully-executed-b-w-.pdf,capefearriverwatch.org,Cape Fear River Watch | Consent Order,3,GenX Contamination in the Cape Fear River,Mechanism that should have worked | Impact evidence | Timeline entry,0,#/case/genx-pfas/spine/m/8 | #/case/genx-pfas/spine/i/4 | #/case/genx-pfas/timeline,,,,,
"https://consortium.uchicago.edu/sites/default/files/2026-01/Connection,%20Trust,%20and%20Learning-Jan26-Consortium.pdf",consortium.uchicago.edu,"UChicago Consortium, Connection, Trust, and Learning | University of Chicago Consortium on School Research",3,COVID-19 School Closures and Reopenings,Evidence | Impact evidence,3,#/case/covid-schools/chain/schools-legitimacy/S6 | #/case/covid-schools/spine/i/1,,,,,
https://content.govdelivery.com/attachments/MIEOG/2020/05/15/file_attachments/1452673/EO%202020-88.pdf,content.govdelivery.com,Michigan Executive Order 2020-88 | Executive Order 2020-88,3,COVID-19 School Closures and Reopenings,Mechanism that should have worked | Timeline entry,0,#/case/covid-schools/spine/m/1 | #/case/covid-schools/timeline,,,,,
https://experts.arizona.edu/en/publications/us-state-vaccine-mandates-did-not-influence-covid-19-vaccination-/,experts.arizona.edu,Rains et al. 2024,3,COVID-19 Vaccine Mandates,Impact counter-evidence | Proposal chain counter-evidence,2,#/case/covid-vaccines/spine/i/3 | #/case/covid-vaccines/spine/pr/1/l/1 | #/case/covid-vaccines/spine/pr/1/l/2,,,,,
https://files.nc.gov/ncdeq/GenX/Consent-order-11212018.pdf,files.nc.gov,Consent Order (NC DEQ),3,GenX Contamination in the Cape Fear River,Evidence,3,#/case/genx-pfas/chain/pfas-harm/R3,,,,,
https://files.nc.gov/ncdeq/GenX/Letter%20November%2011-16-17.pdf,files.nc.gov,North Carolina Department of Environmental Quality,3,GenX Contamination in the Cape Fear River,Mechanism that should have worked | Proposal chain evidence | Proposal chain counter-evidence,0,#/case/genx-pfas/spine/m/2 | #/case/genx-pfas/spine/pr/0/l/2 | #/case/genx-pfas/spine/pr/2/l/2,,,,,
https://ideas.repec.org/a/eee/jeeman/v56y2008i2p117-130.html,ideas.repec.org,Bennear and Olmstead 2008,3,GenX Contamination in the Cape Fear River,Proposal chain evidence | Proposal chain counter-evidence,1,#/case/genx-pfas/spine/pr/2/l/2 | #/case/genx-pfas/spine/pr/3/l/1 | #/case/genx-pfas/spine/pr/5/l/2,,,,,
https://journals.sagepub.com/doi/10.3102/0013189X211048840,journals.sagepub.com,Grossmann et al. | Grossmann et al. 2021,3,COVID-19 School Closures and Reopenings,Mechanism that should have worked | Proposal chain counter-evidence,2,#/case/covid-schools/spine/m/6 | #/case/covid-schools/spine/pr/1/l/2 | #/case/covid-schools/spine/pr/2/l/1,,,,,
https://oes.gsa.gov/vaccines/,oes.gsa.gov,Office of Evaluation Sciences,3,COVID-19 Vaccine Mandates,Proposal chain evidence | Comparable case,1,#/case/covid-vaccines/spine/pr/3/l/0 | #/case/covid-vaccines/spine/pr/3/l/1 | #/case/covid-vaccines/spine/pr/3,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/PMC8938683,pmc.ncbi.nlm.nih.gov,Honein et al. 2021 | PMC,3,COVID-19 School Closures and Reopenings,Proposal chain evidence | Timeline entry,0,#/case/covid-schools/spine/pr/2/l/0 | #/case/covid-schools/timeline,,,,,
https://pubmed.ncbi.nlm.nih.gov/35677729/,pubmed.ncbi.nlm.nih.gov,Hallin et al. 2022,3,COVID-19 School Closures and Reopenings,Impact evidence | Proposal chain evidence | Comparable case,2,#/case/covid-schools/spine/i/3 | #/case/covid-schools/spine/pr/1/l/3 | #/case/covid-schools/spine/pr/2,,,,,
https://pubmed.ncbi.nlm.nih.gov/36069575/,pubmed.ncbi.nlm.nih.gov,Rosen et al. (PubMed) | Rosen et al. 2022,3,GenX Contamination in the Cape Fear River,Evidence | Impact evidence | Proposal chain evidence,2,#/case/genx-pfas/chain/pfas-harm/D5 | #/case/genx-pfas/spine/i/2 | #/case/genx-pfas/spine/pr/0/l/3,,,,,
https://pubs.acs.org/doi/10.1021/acs.est.5b01215,pubs.acs.org,"Strynar et al. 2015, ES&T | Strynar et al. 2015",3,GenX Contamination in the Cape Fear River,Evidence | Proposal chain counter-evidence | Timeline entry,1,#/case/genx-pfas/chain/pfas-harm/D3 | #/case/genx-pfas/spine/pr/1/l/1 | #/case/genx-pfas/timeline,,,,,
https://static.ewg.org/reports/2020/pfas-epa-timeline/EPA-PFAS-Timeline-10-21.pdf,static.ewg.org,EWG EPA PFAS timeline | EWG EPA Timeline,3,GenX Contamination in the Cape Fear River,Evidence | Timeline entry,1,#/case/genx-pfas/chain/pfas-harm/D1 | #/case/genx-pfas/timeline,,,,,
https://www.aei.org/research-products/report/from-attendance-crisis-to-chronic-condition-tracking-post-pandemic-chronic-absenteeism-into-2025/,aei.org,AEI 2025 tracker | American Enterprise Institute,3,COVID-19 School Closures and Reopenings,Evidence | Impact evidence | Proposal chain counter-evidence,1,#/case/covid-schools/chain/schools-legitimacy/S6 | #/case/covid-schools/spine/i/1 | #/case/covid-schools/spine/pr/4/l/2,,,,,
https://www.annenbergpublicpolicycenter.org/publication/what-caused-the-narrowing-of-black-white-covid-19-vaccination-disparity-in-the-us-a-test-of-5-hypotheses/,annenbergpublicpolicycenter.org,Annenberg Public Policy Center,3,COVID-19 Vaccine Mandates,Counter-evidence | Impact counter-evidence | Proposal chain counter-evidence,1,#/case/covid-vaccines/chain/vax-fair/F4 | #/case/covid-vaccines/spine/i/2 | #/case/covid-vaccines/spine/pr/2/l/2,,,,,
https://www.brown.edu/news/2021-09-15/hub,brown.edu,Brown University,3,COVID-19 School Closures and Reopenings,Mechanism that should have worked | Proposal chain evidence | Comparable case,1,#/case/covid-schools/spine/m/7 | #/case/covid-schools/spine/pr/3/l/0 | #/case/covid-schools/spine/pr/3,,,,,
https://www.cdc.gov/mmwr/volumes/71/wr/mm7123a2.htm,cdc.gov,MMWR 71(23) | US Centers for Disease Control and Prevention,3,COVID-19 Vaccine Mandates,Evidence | Impact evidence | Proposal chain evidence,1,#/case/covid-vaccines/chain/vax-fair/F4 | #/case/covid-vaccines/spine/i/2 | #/case/covid-vaccines/spine/pr/2/l/2,,,,,
https://www.cmu.edu/news/stories/archives/2021/august/citizens-assembly-algorithm.html,cmu.edu,CMU News | Carnegie Mellon University,3,COVID-19 School Closures and Reopenings,Participation instance | Comparable case | Timeline entry,0,#/case/covid-schools/chain/schools-legitimacy/S1/p/1 | #/case/covid-schools/spine/pr/0 | #/case/covid-schools/timeline,,,,,
https://www.deq.nc.gov/news/key-issues/genx-investigation/chemours-consent-order,deq.nc.gov,DEQ Consent Order page | North Carolina Department of Environmental Quality | NC DEQ,3,GenX Contamination in the Cape Fear River,Participation instance | Mechanism that should have worked | Timeline entry,0,#/case/genx-pfas/chain/pfas-harm/R4/p/0 | #/case/genx-pfas/spine/m/7 | #/case/genx-pfas/timeline,,,,,
https://www.edweek.org/leadership/map-coronavirus-and-school-closures-in-2019-2020/2020/03,edweek.org,Education Week,3,COVID-19 School Closures and Reopenings,Timeline entry,0,#/case/covid-schools/timeline,,,,,
https://www.federalregister.gov/documents/2026/05/20/2026-10085/rescission-of-regulatory-determinations-and-removal-of-related-provisions-for-four-pfas-substances,federalregister.gov,Federal Register 2026-10085 | Federal Register,3,GenX Contamination in the Cape Fear River,Evidence | Impact evidence | Proposal chain counter-evidence,1,#/case/genx-pfas/chain/pfas-harm/R6 | #/case/genx-pfas/spine/i/5 | #/case/genx-pfas/spine/pr/5/l/2,,,,,
https://www.gao.gov/products/gao-10-722,gao.gov,US Government Accountability Office,3,GenX Contamination in the Cape Fear River,Mechanism that should have worked | Proposal chain counter-evidence | Comparable case,1,#/case/genx-pfas/spine/m/6 | #/case/genx-pfas/spine/pr/0/l/0 | #/case/genx-pfas/spine/pr/0,,,,,
https://www.hhs.gov/sites/default/files/black-history-month-2022-fact-sheet.pdf,hhs.gov,HHS fact sheet,3,COVID-19 Vaccine Mandates,Evidence | Participation instance | Timeline entry,1,#/case/covid-vaccines/chain/vax-fair/F3 | #/case/covid-vaccines/chain/vax-fair/F3/p/0 | #/case/covid-vaccines/timeline,,,,,
https://www.k12dive.com/news/nyc-uft-reopening-agreement-delays-school-start-boosts-safety/584532/,k12dive.com,K-12 Dive,3,COVID-19 School Closures and Reopenings,Participation instance | Mechanism that should have worked | Timeline entry,0,#/case/covid-schools/chain/schools-legitimacy/S2/p/1 | #/case/covid-schools/spine/m/3 | #/case/covid-schools/timeline,,,,,
https://www.knoca.eu/briefings/policy-impact-of-the-french-citizens-convention-for-the-climate-untangling-the-fate-of-the-citizens-recommendations,knoca.eu,Knowledge Network on Climate Assemblies,3,COVID-19 School Closures and Reopenings | COVID-19 Vaccine Mandates,Proposal chain counter-evidence | Comparable case,0,#/case/covid-schools/spine/pr/0/l/1 | #/case/covid-schools/spine/pr/0 | #/case/covid-vaccines/spine/pr/1,,,,,
https://www.nature.com/articles/s41562-022-01363-1,nature.com,Nature Human Behaviour 2022 | Karaivanov et al. 2022,3,COVID-19 Vaccine Mandates,Evidence | Impact evidence | Proposal chain evidence,1,#/case/covid-vaccines/chain/vax-total/V5 | #/case/covid-vaccines/spine/i/3 | #/case/covid-vaccines/spine/pr/1/l/2,,,,,
https://www.nbcnews.com/news/us-news/san-francisco-sues-its-own-school-district-demands-restart-person-n1256639,nbcnews.com,NBC News,3,COVID-19 School Closures and Reopenings,Participation instance | Mechanism that should have worked | Timeline entry,0,#/case/covid-schools/chain/schools-legitimacy/S5/p/0 | #/case/covid-schools/spine/m/5 | #/case/covid-schools/timeline,,,,,
https://www.npr.org/sections/coronavirus-live-updates/2020/08/19/903927057/nyc-teacher-unions-prepared-to-strike-if-safety-demands-are-not-met,npr.org,NPR (UFT) | NPR,3,COVID-19 School Closures and Reopenings,Participation instance | Timeline entry,0,#/case/covid-schools/chain/schools-legitimacy/S2/p/0 | #/case/covid-schools/chain/schools-legitimacy/S2/p/1 | #/case/covid-schools/timeline,,,,,
https://www.nytimes.com/2016/01/10/magazine/the-lawyer-who-became-duponts-worst-nightmare.html,nytimes.com,NYT,3,GenX Contamination in the Cape Fear River,Timeline entry,0,#/case/genx-pfas/timeline,,,,,
https://www.nytimes.com/2021/10/25/nyregion/nypd-police-covid-vaccine-mandate-deblasio.html,nytimes.com,New York Times,3,COVID-19 Vaccine Mandates,Participation instance | Mechanism that should have worked | Timeline entry,0,#/case/covid-vaccines/chain/vax-total/V5/p/0 | #/case/covid-vaccines/spine/m/5 | #/case/covid-vaccines/timeline,,,,,
https://www.rand.org/pubs/research_reports/RRA956-34.html,rand.org,RAND RRA956-34 | RAND Corporation,3,COVID-19 School Closures and Reopenings,Evidence | Impact evidence | Impact counter-evidence,1,#/case/covid-schools/chain/schools-legitimacy/S6 | #/case/covid-schools/spine/i/1,,,,,
https://academic.oup.com/jpubhealth/article/46/1/151/7434434,academic.oup.com,J Public Health 2024 (mobile units RCT) | J Public Health 46(1):151,2,COVID-19 Vaccine Mandates,Counter-evidence | Evidence,2,#/case/covid-vaccines/chain/vax-total/V4 | #/case/covid-vaccines/chain/vax-fair/F2,,,,,
https://academic.oup.com/pnasnexus/article/2/12/pgad411/7459517,academic.oup.com,PNAS Nexus 2023 | Mazar et al. 2023,2,COVID-19 Vaccine Mandates,Evidence | Proposal chain evidence,1,#/case/covid-vaccines/chain/vax-fair/F2 | #/case/covid-vaccines/spine/pr/2/l/1,,,,,
https://academic.oup.com/pnasnexus/article/4/9/pgaf267/8238990,academic.oup.com,Schiff et al. 2025,2,COVID-19 School Closures and Reopenings,Proposal chain counter-evidence | Comparable case,1,#/case/covid-schools/spine/pr/4/l/1 | #/case/covid-schools/spine/pr/4,,,,,
https://chhe.research.ncsu.edu/wordpress/wp-content/uploads/2018/05/Ethers_Strynar_EST2015.pdf,chhe.research.ncsu.edu,"Strynar et al. 2015 (open copy, NC State CHHE)",2,GenX Contamination in the Cape Fear River,Evidence | Timeline entry,1,#/case/genx-pfas/chain/pfas-harm/D3 | #/case/genx-pfas/timeline,,,,,
https://consortium.uchicago.edu/publications/removing-police-officers-from-Chicago-schools,consortium.uchicago.edu,University of Chicago Consortium on School Research,2,COVID-19 School Closures and Reopenings,Proposal chain evidence | Comparable case,1,#/case/covid-schools/spine/pr/4/l/0 | #/case/covid-schools/spine/pr/4,,,,,
https://dankennedy.net/woburn-files/a-civil-action-the-real-story/,dankennedy.net,"Dan Kennedy, Woburn Files",2,GenX Contamination in the Cape Fear River,Proposal chain evidence | Comparable case,0,#/case/genx-pfas/spine/pr/1/l/0 | #/case/genx-pfas/spine/pr/1,,,,,
https://edworkingpapers.com/ai24-1102,edworkingpapers.com,"Holman, Johnson & Simko (EdWorkingPaper)",2,COVID-19 School Closures and Reopenings,Evidence | Mechanism that should have worked,1,#/case/covid-schools/chain/schools-legitimacy/S5 | #/case/covid-schools/spine/m/0,,,,,
https://edworkingpapers.com/sites/default/files/ai21-355.pdf,edworkingpapers.com,Ed Working Papers,2,COVID-19 School Closures and Reopenings,Timeline entry,0,#/case/covid-schools/timeline,,,,,
https://edworkingpapers.com/sites/default/files/ai25_1196_v4.pdf,edworkingpapers.com,EdWorkingPaper ai25-1196 | Singer 2026,2,COVID-19 School Closures and Reopenings,Evidence | Impact evidence,2,#/case/covid-schools/chain/schools-legitimacy/S6 | #/case/covid-schools/spine/i/1,,,,,
https://en.wikipedia.org/wiki/2022_San_Francisco_Board_of_Education_recall_elections,en.wikipedia.org,2022 SF Board of Education recall,2,COVID-19 School Closures and Reopenings,Participation instance | Timeline entry,0,#/case/covid-schools/chain/schools-legitimacy/S5/p/2 | #/case/covid-schools/timeline,,,,,
https://eric.ed.gov/?id=ED476943,eric.ed.gov,Designs for Change 2002,2,COVID-19 School Closures and Reopenings,Proposal chain evidence | Comparable case,1,#/case/covid-schools/spine/pr/4/l/0 | #/case/covid-schools/spine/pr/4,,,,,
https://genxstudy.ncsu.edu/study-overview,genxstudy.ncsu.edu,GenX Exposure Study | GenX Study,2,GenX Contamination in the Cape Fear River,Proposal chain counter-evidence | Timeline entry,0,#/case/genx-pfas/spine/pr/4/l/2 | #/case/genx-pfas/timeline,,,,,
https://journals.sagepub.com/doi/full/10.1177/00333549221143093,journals.sagepub.com,Johnson et al. 2023,2,COVID-19 Vaccine Mandates,Proposal chain evidence | Comparable case,1,#/case/covid-vaccines/spine/pr/2/l/0 | #/case/covid-vaccines/spine/pr/2,,,,,
https://journals.sagepub.com/doi/full/10.1177/14789299211020909,journals.sagepub.com,Suiter et al. 2022,2,COVID-19 School Closures and Reopenings,Comparable case | Proposal chain evidence,1,#/case/covid-schools/spine/pr/0 | #/case/covid-schools/spine/pr/1/l/0,,,,,
https://journals.sagepub.com/doi/pdf/10.1177/23328584221074337,journals.sagepub.com,"Marianno, Power in a Pandemic (AERA Open) | Marianno et al., Power in a Pandemic (AERA Open)",2,COVID-19 School Closures and Reopenings,Evidence | Participation instance,1,#/case/covid-schools/chain/schools-legitimacy/S1 | #/case/covid-schools/chain/schools-legitimacy/S2/p/0,,,,,
https://link.springer.com/article/10.1007/s11292-018-9338-2,link.springer.com,Walters and Bolger 2019,2,COVID-19 School Closures and Reopenings | COVID-19 Vaccine Mandates,Proposal chain counter-evidence | Proposal chain evidence,1,#/case/covid-schools/spine/pr/0/l/3 | #/case/covid-vaccines/spine/pr/1/l/1,,,,,
https://minnesotareformer.com/2022/12/15/toxic-3m-knew-its-chemicals-were-harmful-decades-ago-but-didnt-tell-the-public-government/,minnesotareformer.com,Minnesota Reformer,2,GenX Contamination in the Cape Fear River,Participation instance | Comparable case,0,#/case/genx-pfas/chain/pfas-harm/D1/p/1 | #/case/genx-pfas/spine/pr/0,,,,,
https://nces.ed.gov/programs/coe/indicator/cga/public-school-enrollment,nces.ed.gov,NCES Condition of Education | National Center for Education Statistics,2,COVID-19 School Closures and Reopenings,Evidence | Impact evidence,1,#/case/covid-schools/chain/schools-legitimacy/S3 | #/case/covid-schools/spine/i/0,,,,,
https://news.gallup.com/poll/394784/confidence-public-schools-turns-partisan.aspx,news.gallup.com,Gallup,2,COVID-19 School Closures and Reopenings,Evidence | Impact evidence,1,#/case/covid-schools/chain/schools-legitimacy/S4 | #/case/covid-schools/spine/i/2,,,,,
https://news.gallup.com/poll/695174/record-low-satisfied-education-quality.aspx,news.gallup.com,Gallup 2025,2,COVID-19 School Closures and Reopenings,Evidence | Counter-evidence,2,#/case/covid-schools/chain/schools-legitimacy/S4,,,,,
https://perma.cc/M2H9-BDVC,perma.cc,Perma.cc,2,COVID-19 School Closures and Reopenings,Participation instance | Timeline entry,0,#/case/covid-schools/chain/schools-legitimacy/S1/p/1 | #/case/covid-schools/timeline,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/PMC2799461,pmc.ncbi.nlm.nih.gov,PMC,2,GenX Contamination in the Cape Fear River,Timeline entry,0,#/case/genx-pfas/timeline,,,,,
https://pubmed.ncbi.nlm.nih.gov/32205438/,pubmed.ncbi.nlm.nih.gov,van der Bles et al. 2020,2,COVID-19 School Closures and Reopenings,Proposal chain evidence | Comparable case,1,#/case/covid-schools/spine/pr/3/l/1 | #/case/covid-schools/spine/pr/3,,,,,
https://pubmed.ncbi.nlm.nih.gov/34543291/,pubmed.ncbi.nlm.nih.gov,PubMed 34543291,2,COVID-19 Vaccine Mandates,Participation instance | Timeline entry,0,#/case/covid-vaccines/chain/vax-total/V4/p/0 | #/case/covid-vaccines/timeline,,,,,
https://pubs.acs.org/doi/10.1021/acs.estlett.6b00398,pubs.acs.org,Sun et al. 2016 | ACS,2,GenX Contamination in the Cape Fear River,Impact evidence | Timeline entry,0,#/case/genx-pfas/spine/i/0 | #/case/genx-pfas/timeline,,,,,
https://scholarworks.boisestate.edu/polsci_facpubs/146/,scholarworks.boisestate.edu,Touchton and Wampler 2014,2,COVID-19 School Closures and Reopenings,Proposal chain evidence | Comparable case,1,#/case/covid-schools/spine/pr/4/l/1 | #/case/covid-schools/spine/pr/4,,,,,
https://theoryandpractice.citizenscienceassociation.org/articles/10.5334/cstp.154,theoryandpractice.citizenscienceassociation.org,Roy and Edwards 2019,2,GenX Contamination in the Cape Fear River,Proposal chain evidence | Comparable case,1,#/case/genx-pfas/spine/pr/1/l/1 | #/case/genx-pfas/spine/pr/3,,,,,
https://www.adalovelaceinstitute.org/project/rapid-online-deliberation-on-covid-19-technologies/,adalovelaceinstitute.org,Ada Lovelace Institute,2,COVID-19 School Closures and Reopenings,Proposal chain evidence | Comparable case,1,#/case/covid-schools/spine/pr/0/l/0 | #/case/covid-schools/spine/pr/1,,,,,
